,x,y,time,theta
0.0,347.0,143.0,0.01757049560546875,-0.19114162650432728
1.0,418.0,124.5,0.04517650604248047,-0.20520205685183698
2.0,482.5,103.0,0.05498981475830078,-0.22155425263417983
3.0,540.5,77.5,0.06672883033752441,-0.24096215385235198
4.0,536.0,110.0,0.20323562622070312,-0.21622902350592935
5.0,326.0,111.5,0.24741315841674805,-0.21508805500985484
6.0,245.5,111.5,0.26332640647888184,-0.21508805500985484
7.0,164.5,109.0,0.2833974361419678,-0.21698969952748778
8.0,320.0,103.0,0.5400950908660889,-0.22155425263417983
9.0,304.2631530761719,109.0,0.5677306652069092,-0.21698969952748778
10.0,290.6910095214844,112.93820190429688,0.5888383388519287,-0.21399414488740615
11.0,277.0,115.5,0.6133499145507812,-0.21204574471543125
12.0,264.75,116.0,0.637509822845459,-0.21166548427603188
13.0,253.0,114.0,0.6613774299621582,-0.21318656410357004
14.0,243.32608032226562,108.41304016113281,0.6786508560180664,-0.217436197008604
15.0,156.0,110.0,0.7796230316162109,-0.21622902350592935
16.0,67.0,109.0,0.8968305587768555,-0.21698969952748778
17.0,244.2906951904297,275.47674560546875,1.430020809173584,-0.09085245930937116
18.0,293.6176452636719,267.5,1.4425554275512695,-0.09686639060894645
19.0,337.0,258.5,1.4539940357208252,-0.10365621007940132
20.0,385.0,244.5,1.4700429439544678,-0.1142271263139247
21.0,435.5,227.5,1.4816749095916748,-0.1270771915061163
22.0,477.2894592285156,209.5,1.5017807483673096,-0.1406987380110315
23.0,543.0,143.5,1.6904969215393066,-0.19076175805205176
24.0,456.0,135.0,1.7013969421386719,-0.19722057250028685
25.0,279.6881103515625,106.26237487792969,1.72111177444458,-0.2190722676081308
26.0,203.5,90.0,1.7314865589141846,-0.23144685993505776
27.0,129.73711395263672,69.80928039550781,1.7463252544403076,-0.24681786664474867
28.0,71.53636169433594,48.936363220214844,1.7749862670898438,-0.26271481127019913
29.0,15.5,29.5,1.7834861278533936,-0.2775219464916783
30.0,73.07039642333984,80.62996673583984,1.9481418132781982,-0.23857928179641813
31.0,151.0,90.5,1.964935302734375,-0.2310663098778195
32.0,226.7486572265625,93.2834243774414,1.9834086894989014,-0.2289479372993618
33.0,314.69232177734375,99.0,2.00150990486145,-0.22459774528315402
34.0,386.8333435058594,97.5,2.019282341003418,-0.22573914586674204
35.0,455.0,93.5,2.041956901550293,-0.22878311535546414
36.0,526.0,89.0,2.0635104179382324,-0.23220797491973202
37.0,581.5,82.0,2.0802297592163086,-0.2375363175336992
38.0,632.5,73.5,2.095313787460327,-0.24400763327075797
39.0,587.5,218.0,2.257720708847046,-0.13426441763635805
40.0,498.25860595703125,212.5689697265625,2.277604579925537,-0.13837520457558145
41.0,419.32501220703125,204.0,2.298703670501709,-0.144863891792762
42.0,340.4358825683594,189.57264709472656,2.3170413970947266,-0.155796054403899
43.0,277.94329833984375,177.78866577148438,2.3395285606384277,-0.1647316710354739
44.0,221.5,162.5,2.3519389629364014,-0.1763328507010158
45.0,27.5,265.5,2.5328938961029053,-0.09837483894817603
46.0,95.3648681640625,278.52703857421875,2.5609304904937744,-0.0885537399348508
47.0,168.0869598388672,288.7173767089844,2.584787607192993,-0.08087833697491831
48.0,249.0,293.0882263183594,2.594412326812744,-0.07758816729419937
49.0,325.5,292.5,2.6072895526885986,-0.07803088636531283
